Font,Color Combination,Lens,Distance to Screen,Screen Brightness,Horizontal Angle,Vertical Angle,Exposure Time,Gain,Size,Unprocessed Accuracy,Processed Accuracy
0,1,daheng_12mm,100,50,45,45,100,15,Medium,0.03333333333333333,0.0
0,1,daheng_12mm,100,50,45,45,100,15,Small,0.0,0.0
0,2,daheng_12mm,100,50,45,45,100,15,Big,0.0,0.0
0,2,daheng_12mm,100,50,45,45,100,15,Medium,0.0,0.0
0,2,daheng_12mm,100,50,45,45,100,15,Small,0.0,0.0
0,3,daheng_12mm,100,50,45,45,100,15,Big,0.0,0.8
0,3,daheng_12mm,100,50,45,45,100,15,Medium,0.0,0.0
0,3,daheng_12mm,100,50,45,45,100,15,Small,0.0,0.0
1,0,daheng_12mm,100,50,45,45,100,15,Big,0.0,0.3
1,0,daheng_12mm,100,50,45,45,100,15,Medium,0.0,0.0
1,0,daheng_12mm,100,50,45,45,100,15,Small,0.0,0.0
1,1,daheng_12mm,100,50,45,45,100,15,Big,0.3333333333333333,0.4
1,1,daheng_12mm,100,50,45,45,100,15,Medium,0.23333333333333334,0.2
1,1,daheng_12mm,100,50,45,45,100,15,Small,0.0,0.0
1,2,daheng_12mm,100,50,45,45,100,15,Big,0.0,0.0
1,2,daheng_12mm,100,50,45,45,100,15,Medium,0.0,0.0
1,2,daheng_12mm,100,50,45,45,100,15,Small,0.0,0.0
1,3,daheng_12mm,100,50,45,45,100,15,Big,0.0,0.2
1,3,daheng_12mm,100,50,45,45,100,15,Medium,0.0,0.1
1,3,daheng_12mm,100,50,45,45,100,15,Small,0.0,0.0
2,0,daheng_12mm,100,50,45,45,100,15,Big,0.0,0.0
2,0,daheng_12mm,100,50,45,45,100,15,Medium,0.0,0.0
2,0,daheng_12mm,100,50,45,45,100,15,Small,0.0,0.0
2,1,daheng_12mm,100,50,45,45,100,15,Big,0.03333333333333333,0.03333333333333333
2,1,daheng_12mm,100,50,45,45,100,15,Medium,0.0,0.0
2,1,daheng_12mm,100,50,45,45,100,15,Small,0.0,0.0
2,2,daheng_12mm,100,50,45,45,100,15,Big,0.0,0.0
2,2,daheng_12mm,100,50,45,45,100,15,Medium,0.0,0.0
2,2,daheng_12mm,100,50,45,45,100,15,Small,0.0,0.0
2,3,daheng_12mm,100,50,45,45,100,15,Big,0.0,0.8
2,3,daheng_12mm,100,50,45,45,100,15,Medium,0.0,0.06666666666666667
2,3,daheng_12mm,100,50,45,45,100,15,Small,0.0,0.0
0,0,daheng_12mm,100,50,45,45,250,5,Big,0.0,0.0
0,0,daheng_12mm,100,50,45,45,250,5,Medium,0.0,0.0
0,0,daheng_12mm,100,50,45,45,250,5,Small,0.0,0.0
0,1,daheng_12mm,100,50,45,45,250,5,Big,0.13333333333333333,0.06666666666666667
0,1,daheng_12mm,100,50,45,45,250,5,Medium,0.0,0.0
0,1,daheng_12mm,100,50,45,45,250,5,Small,0.0,0.0
0,2,daheng_12mm,100,50,45,45,250,5,Big,0.0,0.0
0,2,daheng_12mm,100,50,45,45,250,5,Medium,0.0,0.0
0,2,daheng_12mm,100,50,45,45,250,5,Small,0.0,0.0
0,3,daheng_12mm,100,50,45,45,250,5,Big,0.0,0.0
0,3,daheng_12mm,100,50,45,45,250,5,Medium,0.0,0.0
0,3,daheng_12mm,100,50,45,45,250,5,Small,0.0,0.0
1,0,daheng_12mm,100,50,45,45,250,5,Big,0.0,0.0
1,0,daheng_12mm,100,50,45,45,250,5,Medium,0.0,0.0
1,0,daheng_12mm,100,50,45,45,250,5,Small,0.0,0.0
1,1,daheng_12mm,100,50,45,45,250,5,Big,0.06666666666666667,0.06666666666666667
1,1,daheng_12mm,100,50,45,45,250,5,Medium,0.0,0.0
1,1,daheng_12mm,100,50,45,45,250,5,Small,0.0,0.0
